order_id,date,category,product,quantity,amount
1,2024-01-05,전자기기,노트북,1,1200000
2,2024-01-06,의류,패딩점퍼,2,180000
3,2024-01-07,식품,유기농쌀,5,45000
4,2024-01-08,전자기기,스마트폰,1,950000
5,2024-01-09,의류,청바지,3,90000
6,2024-01-10,식품,올리브오일,2,32000
7,2024-01-11,전자기기,무선이어폰,2,280000
8,2024-01-12,가구,책상,1,350000
9,2024-01-13,의류,티셔츠,4,60000
10,2024-01-14,식품,프리미엄커피,3,75000
11,2024-01-15,가구,의자,1,280000
12,2024-01-16,전자기기,태블릿,1,680000
13,2024-01-17,식품,견과류세트,2,48000
14,2024-01-18,의류,코트,1,320000
15,2024-01-19,가구,조명,2,96000
16,2024-01-20,전자기기,스마트워치,1,420000
17,2024-01-21,식품,프로틴바,10,55000
18,2024-01-22,의류,운동복세트,2,110000
19,2024-01-23,가구,책장,1,220000
20,2024-01-24,전자기기,키보드,1,150000
21,2024-01-25,식품,그래놀라,4,36000
22,2024-01-26,의류,모자,3,45000
23,2024-01-27,가구,소파,1,890000
24,2024-01-28,전자기기,모니터,1,550000
25,2024-01-29,식품,유기농주스,6,42000
